t,d,state,hp,px,py,ex,ey
0,14.85,0,100,0.1,0,14.95,0
0.1,14.7,0,100,0.2,0,14.9,0
0.2,14.55,0,100,0.3,0,14.85,0
0.3,14.4,0,100,0.4,0,14.8,0
0.4,14.25,0,100,0.5,0,14.75,0
0.5,14.1,0,100,0.6,0,14.7,0
0.6,13.95,0,100,0.7,0,14.65,0
0.7,13.8,0,100,0.8,0,14.6,0
0.8,13.65,0,100,0.9,0,14.55,0
0.9,13.5,0,100,1,0,14.5,0
1,13.35,0,100,1.1,0,14.45,0
1.1,13.2,0,100,1.2,0,14.4,0
1.2,13.05,0,100,1.3,0,14.35,0
1.3,12.9,0,100,1.4,0,14.3,0
1.4,12.75,0,100,1.5,0,14.25,0
1.5,12.6,0,100,1.6,0,14.2,0
1.6,12.45,0,100,1.7,0,14.15,0
1.7,12.3,0,100,1.8,0,14.1,0
1.8,12.15,0,100,1.9,0,14.05,0
1.9,12,0,100,2,0,14,0
2,11.85,0,100,2.1,0,13.95,0
2.1,11.7,0,100,2.2,0,13.9,0
2.2,11.55,0,100,2.3,0,13.85,0
2.3,11.4,0,100,2.4,0,13.8,0
2.4,11.25,0,100,2.5,0,13.75,0
2.5,11.1,0,100,2.6,0,13.7,0
2.6,10.95,0,100,2.7,0,13.65,0
2.7,10.8,0,100,2.8,0,13.6,0
2.8,10.65,0,100,2.9,0,13.55,0
2.9,10.5,0,100,3,0,13.5,0
3,10.35,0,100,3.1,0,13.45,0
3.1,10.2,0,100,3.2,0,13.4,0
3.2,10.05,0,100,3.3,0,13.35,0
3.3,9.9,1,95,3.4,0,13.3,0
3.4,9.83,1,90,3.45,0,13.28,0
3.5,9.76,1,85,3.5,0,13.26,0
3.6,9.69,1,80,3.55,0,13.24,0
3.7,9.62,1,75,3.6,0,13.22,0
3.8,9.55,1,70,3.65,0,13.2,0
3.9,9.48,1,65,3.7,0,13.18,0
4,9.41,1,60,3.75,0,13.16,0
4.1,9.34,1,55,3.8,0,13.14,0
4.2,9.27,1,50,3.85,0,13.12,0
4.3,9.2,1,45,3.9,0,13.1,0
4.4,9.13,2,45,3.95,0,13.08,0
4.5,9.26,2,45,3.8,0,13.06,0
4.6,9.39,2,45,3.65,0,13.04,0
4.7,9.52,2,45,3.5,0,13.02,0
4.8,9.65,2,45,3.35,0,13,0
4.9,9.78,2,45,3.2,0,12.98,0
5,9.91,2,45,3.05,0,12.96,0
5.1,10.04,2,45,2.9,0,12.94,0
5.2,10.17,2,45,2.75,0,12.92,0
5.3,10.3,2,45,2.6,0,12.9,0
5.4,10.43,2,45,2.45,0,12.88,0
5.5,10.56,2,45,2.3,0,12.86,0
5.6,10.69,2,45,2.15,0,12.84,0
5.7,10.82,2,45,2,0,12.82,0
5.8,10.95,2,45,1.85,0,12.8,0
5.9,11.08,2,45,1.7,0,12.78,0
6,11.21,2,45,1.55,0,12.76,0
6.1,11.34,2,45,1.4,0,12.74,0
6.2,11.47,2,45,1.25,0,12.72,0
6.3,11.6,2,45,1.1,0,12.7,0
6.4,11.73,2,45,0.95,0,12.68,0
6.5,11.86,2,45,0.8,0,12.66,0
6.6,11.99,2,45,0.65,0,12.64,0
6.7,12.12,2,45,0.5,0,12.62,0
6.8,12.25,2,45,0.35,0,12.6,0
6.9,12.38,2,45,0.2,0,12.58,0
7,12.51,2,45,0.05,0,12.56,0
7.1,12.64,2,45,-0.1,0,12.54,0
7.2,12.77,2,45,-0.25,0,12.52,0
7.3,12.9,2,45,-0.4,0,12.5,0
7.4,13.03,2,45,-0.55,0,12.48,0
7.5,13.16,2,45,-0.7,0,12.46,0
7.6,13.29,2,45,-0.85,0,12.44,0
7.7,13.42,2,45,-1,0,12.42,0
7.8,13.55,2,45,-1.15,0,12.4,0
7.9,13.68,2,45,-1.3,0,12.38,0
8,13.81,2,45,-1.45,0,12.36,0
8.1,13.94,2,45,-1.6,0,12.34,0
8.2,14.07,2,45,-1.75,0,12.32,0
8.3,14.2,2,45,-1.9,0,12.3,0
8.4,14.33,2,45,-2.05,0,12.28,0
8.5,14.46,2,45,-2.2,0,12.26,0
8.6,14.59,2,45,-2.35,0,12.24,0
8.7,14.72,2,45,-2.5,0,12.22,0
8.8,14.85,2,45,-2.65,0,12.2,0
8.9,14.98,2,45,-2.8,0,12.18,0
9,15.11,0,45,-2.95,0,12.16,0
9.1,14.96,0,45,-2.85,0,12.11,0
9.2,14.81,0,45,-2.75,0,12.06,0
9.3,14.66,0,45,-2.65,0,12.01,0
9.4,14.51,0,45,-2.55,0,11.96,0
9.5,14.36,0,45,-2.45,0,11.91,0
9.6,14.21,0,45,-2.35,0,11.86,0
9.7,14.06,0,45,-2.25,0,11.81,0
9.8,13.91,0,45,-2.15,0,11.76,0
9.9,13.76,0,45,-2.05,0,11.71,0
10,13.61,0,45,-1.95,0,11.66,0
10.1,13.46,0,45,-1.85,0,11.61,0
10.2,13.31,0,45,-1.75,0,11.56,0
10.3,13.16,0,45,-1.65,0,11.51,0
10.4,13.01,0,45,-1.55,0,11.46,0
10.5,12.86,0,45,-1.45,0,11.41,0
10.6,12.71,0,45,-1.35,0,11.36,0
10.7,12.56,0,45,-1.25,0,11.31,0
10.8,12.41,0,45,-1.15,0,11.26,0
10.9,12.26,0,45,-1.05,0,11.21,0
